refsoilID	OTU	soil	sediment	peat	rocky	ag	silt	loam
gi|386038690	4428732	1648.0	1648.0	1	1	6.0	1	1
gi|386042347	675580	6.0	6.0	1	1	1	1	1
gi|386045634	675580	6.0	6.0	1	1	1	1	1
gi|386048930	675580	6.0	6.0	1	1	1	1	1
gi|386052273	675580	6.0	6.0	1	1	1	1	1
gi|386056071	827497	3939.0	3939.0	1	1	1	1	1
gi|386062973	827497	3939.0	3939.0	1	1	1	1	1
gi|386077236	4455895	2362.0	2362.0	1	1	1	1	1
gi|523408232	651436	7.0	7.0	1	1	1	1	1
gi|386311792	829702	6581.0	6581.0	2.0	1	1	1	1
gi|386326719	274754	1208794.0	1208794.0	1	1	1	1	1
gi|386331671	651436	7.0	7.0	1	1	1	1	1
gi|386353647	826658	168.0	168.0	1	1	1	1	1
gi|386607309	141145	3153.0	3153.0	1	1	1	1	1
gi|386617516	141145	3153.0	3153.0	1	1	1	1	1
gi|386627502	141145	3153.0	3153.0	1	1	1	1	1
gi|386707734	141145	3153.0	3153.0	1	1	1	1	1
gi|386712343	New.52.CleanUp.ReferenceOTU21326	12.0	12.0	1	1	1	1	1
gi|386716467	New.52.CleanUp.ReferenceOTU39319	2.0	2.0	1	1	1	1	1
gi|511628970	New.7.CleanUp.ReferenceOTU279193	4.0	4.0	1	1	1	1	1
gi|386733873	1532107	106557.0	106557.0	1	1	1	1	1
gi|386756580	4441266	720.0	720.0	1	1	1	1	1
gi|386836097	77193	8.0	8.0	1	1	1	1	1
gi|387789281	New.7.CleanUp.ReferenceOTU256861	2.0	2.0	1	1	1	1	1
gi|386855208	241895	18.0	18.0	1	1	1	1	1
gi|386845069	28089	9606.0	9606.0	1	1	1	1	1
gi|470152509	555725	4.0	4.0	1	1	1	1	1
gi|387891255	4352233	109298.0	109298.0	1	1	1	1	1
gi|387896523	4441266	720.0	720.0	1	1	1	1	1
gi|387900762	3423513	1213.0	1213.0	2.0	1	643.0	10.0	1
gi|387905813	3423513	1213.0	1213.0	2.0	1	643.0	10.0	1
gi|389861738	New.52.CleanUp.ReferenceOTU32466	3.0	3.0	1	1	1	1	1
gi|395443650	277094	96.0	96.0	1	1	1	1	1
gi|398349897	2675752	714.0	714.0	1	1	1	1	1
gi|392391692	13900	3.0	3.0	1	1	1	1	1
gi|392413905	90701	1877.0	1877.0	1	1	1	1	1
gi|392419087	588637	50.0	50.0	1	24.0	4.0	1	1
gi|393198727	4302300	637.0	637.0	1	1	1	1	1
gi|392423459	257203	3.0	3.0	1	1	1	1	1
gi|392976867	210269	123684.0	123684.0	1	1	1	1	1
gi|392981410	827497	3939.0	3939.0	1	1	1	1	1
gi|397662556	New.5.CleanUp.ReferenceOTU328310	21.0	21.0	1	1	1	1	1
gi|397665626	New.5.CleanUp.ReferenceOTU328310	21.0	21.0	1	1	1	1	1
gi|561108321	264791	378.0	378.0	1	1	1	1	1
gi|397685123	New.19.CleanUp.ReferenceOTU3972	3.0	3.0	1	1	1	1	1
gi|399533820	New.59.CleanUp.ReferenceOTU294692	2.0	2.0	1	1	1	1	1
gi|402770565	1120835	30.0	30.0	1	1	1	1	1
gi|434373506	1532107	106557.0	106557.0	1	1	1	1	1
gi|402564811	3423513	1213.0	1213.0	2.0	1	643.0	10.0	1
gi|402570638	257203	3.0	3.0	1	1	1	1	1
gi|403056439	555725	4.0	4.0	1	1	1	1	1
gi|403516668	3423513	1213.0	1213.0	2.0	1	643.0	10.0	1
gi|403521294	3423513	1213.0	1213.0	2.0	1	643.0	10.0	1
gi|404212629	799497	93.0	93.0	1	1	1	1	1
gi|405748335	675580	6.0	6.0	1	1	1	1	1
gi|405751204	675580	6.0	6.0	1	1	1	1	1
gi|405754079	675580	6.0	6.0	1	1	1	1	1
gi|404279552	675580	6.0	6.0	1	1	1	1	1
gi|404282430	675580	6.0	6.0	1	1	1	1	1
gi|405756987	675580	6.0	6.0	1	1	1	1	1
gi|404285367	675580	6.0	6.0	1	1	1	1	1
gi|404412106	675580	6.0	6.0	1	1	1	1	1
gi|407450786	New.9.CleanUp.ReferenceOTU227688	1	1	1	1	1	1	1
gi|406702775	675580	6.0	6.0	1	1	1	1	1
gi|410477577	679240	4.0	4.0	1	1	1	1	1
gi|407708765	New.59.CleanUp.ReferenceOTU454412	2.0	2.0	1	1	1	1	1
gi|407641178	4393724	182.0	182.0	1	1	1	1	1
gi|407703236	1532107	106557.0	106557.0	1	1	1	1	1
gi|407711772	New.59.CleanUp.ReferenceOTU454412	2.0	2.0	1	1	1	1	1
gi|407719209	New.24.CleanUp.ReferenceOTU38683	383.0	383.0	29.0	1	1	1	1
gi|408355363	New.19.CleanUp.ReferenceOTU19235	10.0	10.0	1	1	1	1	1
gi|407936729	4469492	1926.0	1926.0	1	1	1	1	1
gi|410687359	1148151	18.0	18.0	1	1	1	1	1
gi|409101468	3897979	2.0	2.0	1	1	1	1	1
gi|409101469	3897979	2.0	2.0	1	1	1	1	1
gi|409187964	2940299	1	1	1	1	1	1	1
gi|409187965	1532107	106557.0	106557.0	1	1	1	1	1
gi|412337338	4483058	1303.0	1303.0	1	1	1	1	1
gi|426402010	New.59.CleanUp.ReferenceOTU610900	2.0	2.0	1	1	1	1	1
gi|426406915	155221	43787.0	43787.0	2.0	4.0	5.0	1.0	4.0
gi|433601838	63696	1289.0	1289.0	1	1	8.0	1	1
gi|427705465	143784	496.0	496.0	1	1	1	1	1
gi|427711179	35188	88.0	88.0	1	1	1	1	1
gi|427722021	99430	1	1	1	1	1	1	1
gi|428200461	New.42.CleanUp.ReferenceOTU5290	12.0	12.0	1	1	1	1	1
gi|428210537	New.59.CleanUp.ReferenceOTU135108	2.0	2.0	1	1	1	1	1
gi|428205073	New.9.CleanUp.ReferenceOTU167587	22.0	22.0	1	1	1	1	1
gi|428216284	New.5.CleanUp.ReferenceOTU428117	1	1	1	1	1	1	1
gi|428220140	New.59.CleanUp.ReferenceOTU927792	55.0	55.0	1	1	1	1	1
gi|428223461	New.59.CleanUp.ReferenceOTU1511702	45.0	45.0	1	1	1	1	1
gi|428315182	824855	2.0	2.0	1	1	1	1	1
gi|434390831	New.59.CleanUp.ReferenceOTU1075466	1406.0	1406.0	1	1	1	1	1
gi|434402184	New.5.CleanUp.ReferenceOTU81976	2.0	2.0	1	1	1	1	1
gi|428768415	768911	16.0	16.0	1	1	1	1	1
gi|428771848	768911	16.0	16.0	1	1	1	1	1
gi|428778395	New.59.CleanUp.ReferenceOTU1075466	1406.0	1406.0	1	1	1	1	1
gi|429217735	New.5.CleanUp.ReferenceOTU527409	26.0	26.0	1	1	2.0	1	1
gi|429503531	4441266	720.0	720.0	1	1	1	1	1
gi|433611795	New.24.CleanUp.ReferenceOTU38683	383.0	383.0	29.0	1	1	1	1
gi|430741030	New.7.CleanUp.ReferenceOTU36342	1310.0	1310.0	1	1	1	7.0	5.0
gi|430748349	New.19.CleanUp.ReferenceOTU8353	17.0	17.0	1	1	1	1	1
gi|431792069	161579	37.0	37.0	1	1	1	1	1
gi|431925209	821119	17.0	17.0	1	1	1	1	1
gi|433771415	3004649	595.0	595.0	1	1	6.0	5.0	1
gi|440224888	4338661	5181.0	5181.0	1	1	1	1	1
gi|479053932	264791	378.0	378.0	1	1	1	1	1
gi|442803496	New.42.CleanUp.ReferenceOTU68688	8.0	8.0	1	1	1	1	1
gi|445058371	137056	505.0	505.0	1	1	1	1	1
gi|447911521	152485	1465.0	1465.0	1	1	1	1	1
gi|447915004	4352233	109298.0	109298.0	1	1	1	1	1
gi|448236310	4338984	93.0	93.0	1	1	6.0	1	1
gi|448239774	4416113	29976.0	29976.0	1	1	1	1	1
gi|449086670	1532107	106557.0	106557.0	1	1	1	1	1
